id,profit0,online0
1,,
2,-32,0
3,-22,1
4,,
5,-4,0
6,14,0
7,0,0
8,-65,0
9,855,0
10,-20,0
11,67,0
12,-60,0
13,-128,0
14,,
15,71,1
16,808,0
17,-120,0
18,-60,0
19,-80,0
20,1,0
21,224,0
22,,
23,-22,1
24,42,0
25,680,0
26,,
27,-33,0
28,,
29,,
30,,
31,-21,0
32,-112,0
33,-28,0
34,614,0
35,-19,0
36,1,0
37,,
38,7,0
39,-83,0
40,534,0
41,,
42,-111,1
43,-116,1
44,259,0
45,-31,0
46,63,0
47,795,0
48,-45,0
49,,
50,37,0
51,258,0
52,136,0
53,,
54,387,0
55,-45,1
56,141,0
57,336,0
58,827,1
59,-27,0
60,-26,0
61,733,0
62,,
63,231,0
64,-9,0
65,-105,0
66,,
67,,
68,-31,0
69,54,0
70,21,0
71,64,1
72,156,1
73,82,1
74,249,1
75,14,0
76,-19,0
77,-143,1
78,0,0
79,121,0
80,-2,0
81,-40,0
82,,
83,408,1
84,99,0
85,9,1
86,212,0
87,95,0
88,64,0
89,22,0
90,-4,1
91,-71,0
92,-58,1
93,10,0
94,-63,0
95,39,0
96,236,1
97,-29,0
98,327,0
99,725,0
100,-17,0
101,,
102,44,0
103,,
104,47,0
105,61,0
106,,
107,506,0
108,262,0
109,113,0
110,811,0
111,-99,0
112,,
113,8,1
114,,
115,-58,0
116,,
117,-2,0
118,8,0
119,-5,0
120,-74,1
121,53,0
122,136,0
123,180,0
124,-21,0
125,450,0
126,75,0
127,124,0
128,-19,0
129,-29,1
130,378,0
131,397,0
132,,
133,34,0
134,,
135,268,1
136,-32,0
137,,
138,38,0
139,-114,0
140,,
141,196,1
142,,
143,,
144,-112,0
145,51,0
146,88,0
147,1198,1
148,167,0
149,-60,0
150,-34,0
151,,
152,,
153,640,0
154,238,0
155,-64,0
156,-29,0
157,,
158,109,0
159,394,0
160,-69,0
161,-28,1
162,,
163,-36,1
164,,
165,119,0
166,-55,0
167,28,0
168,-26,0
169,221,1
170,678,0
171,,
172,379,1
173,129,0
174,,
175,,
176,162,0
177,,
178,75,1
179,-62,0
180,365,1
181,394,0
182,,
183,205,0
184,-30,0
185,-83,1
186,403,1
187,88,0
188,38,0
189,210,0
190,-82,0
191,,
192,2726,1
193,-133,0
194,3,0
195,7,0
196,252,0
197,-72,0
198,34,1
199,,
200,168,0
201,368,0
202,-3,0
203,-171,0
204,337,0
205,81,0
206,-9,0
207,,
208,315,0
209,278,0
210,447,1
211,111,0
212,131,0
213,-36,0
214,,
215,-189,1
216,-24,1
217,,
218,799,0
219,13,1
220,-98,0
221,86,0
222,293,0
223,47,0
224,,
225,,
226,164,0
227,-37,0
228,62,0
229,-23,0
230,83,0
231,215,1
232,315,0
233,,
234,1162,0
235,-29,1
236,0,0
237,402,0
238,143,0
239,,
240,395,0
241,,
242,-7,0
243,1470,0
244,-40,0
245,186,0
246,-19,0
247,-7,0
248,,
249,161,1
250,829,0
251,43,0
252,-69,0
253,,
254,-10,0
255,,
256,-47,0
257,13,0
258,10,0
259,,
260,,
261,416,0
262,-53,0
263,-28,0
264,96,0
265,,
266,-26,0
267,90,0
268,69,0
269,-73,0
270,-39,0
271,164,0
272,629,0
273,-24,0
274,45,0
275,-32,0
276,,
277,14,0
278,103,0
279,227,0
280,28,0
281,-84,0
282,80,1
283,187,0
284,,
285,-68,0
286,532,1
287,-21,0
288,,
289,154,0
290,-80,0
291,1611,0
292,1363,0
293,6,0
294,-18,0
295,-60,0
296,,
297,11,0
298,73,0
299,13,0
300,,
301,71,0
302,396,1
303,-70,0
304,-43,0
305,-282,1
306,174,0
307,47,0
308,,
309,10,0
310,36,1
311,-32,0
312,14,0
313,-34,0
314,-52,0
315,123,0
316,17,0
317,-19,0
318,1337,1
319,-53,0
320,,
321,,
322,,
323,48,0
324,,
325,,
326,,
327,69,0
328,,
329,-32,0
330,178,0
331,23,0
332,355,1
333,-62,0
334,114,0
335,128,0
336,1,0
337,229,1
338,-22,0
339,252,0
340,-210,0
341,-13,0
342,144,0
343,-80,0
344,-24,0
345,-22,0
346,153,0
347,,
348,-20,0
349,-19,0
350,530,0
351,847,1
352,45,0
353,377,0
354,133,1
355,6,0
356,-141,1
357,-61,0
358,20,0
359,48,0
360,202,1
361,-166,1
362,1405,0
363,-17,0
364,301,0
365,194,0
366,-34,0
367,-38,0
368,-128,0
369,-31,0
370,-64,0
371,722,0
372,,
373,-1,0
374,,
375,,
376,589,0
377,198,0
378,-35,0
379,-9,0
380,-95,0
381,104,0
382,-66,0
383,,
384,265,0
385,269,1
386,102,0
387,596,1
388,89,0
389,175,0
390,-23,0
391,134,0
392,-15,1
393,-226,0
394,-19,0
395,164,0
396,374,0
397,41,0
398,-146,1
399,,
400,602,0
401,-50,1
402,39,0
403,41,0
404,-7,1
405,10,0
406,-42,0
407,,
408,-83,0
409,11,0
410,152,0
411,-94,0
412,391,0
413,-31,0
414,258,0
415,474,0
416,73,0
417,318,0
418,-36,0
419,-37,0
420,,
421,-33,0
422,-28,0
423,123,0
424,6,0
425,-38,0
426,237,0
427,259,0
428,13,1
429,-58,0
430,-64,0
431,824,0
432,-80,0
433,-43,0
434,1146,0
435,,
436,672,0
437,83,0
438,-13,0
439,,
440,914,0
441,-88,0
442,,
443,417,0
444,-23,0
445,197,0
446,127,0
447,-49,0
448,82,0
449,80,0
450,66,0
451,-4,0
452,-35,1
453,,
454,100,0
455,799,0
456,,
457,,
458,106,0
459,102,0
460,,
461,267,0
462,-44,0
463,,
464,,
465,,
466,-3,0
467,-54,0
468,,
469,240,0
470,108,0
471,220,0
472,,
473,,
474,115,1
475,,
476,,
477,,
478,13,0
479,-53,0
480,-7,0
481,1024,0
482,179,0
483,-36,0
484,-22,1
485,15,1
486,,
487,-54,0
488,-21,0
489,-3,0
490,,
491,-18,0
492,-27,0
493,831,0
494,102,1
495,,
496,216,0
497,207,0
498,326,1
499,-6,0
500,1248,0
501,670,0
502,-105,0
503,-8,0
504,76,0
505,24,0
506,109,0
507,-17,0
508,-8,0
509,-33,1
510,-77,0
511,,
512,111,0
513,-124,0
514,,
515,204,0
516,43,0
517,112,0
518,,
519,-124,0
520,,
521,,
522,1,1
523,-73,0
524,,
525,64,0
526,712,0
527,,
528,-14,0
529,,
530,797,0
531,-26,0
532,87,0
533,-55,0
534,,
535,408,0
536,220,0
537,-133,1
538,46,0
539,,
540,40,0
541,,
542,-130,0
543,63,0
544,291,0
545,454,0
546,-31,0
547,-31,0
548,-10,0
549,-30,0
550,-3,0
551,-86,1
552,43,0
553,-31,0
554,-24,0
555,-29,0
556,-95,1
557,268,0
558,,
559,,
560,1162,0
561,280,0
562,-392,0
563,,
564,-80,0
565,592,0
566,297,1
567,,
568,102,0
569,10,0
570,192,0
571,,
572,-109,0
573,62,0
574,465,0
575,,
576,-1,0
577,135,0
578,552,0
579,527,0
580,-113,0
581,647,0
582,627,0
583,704,0
584,-36,0
585,3,1
586,129,0
587,-14,0
588,202,1
589,17,0
590,-10,0
591,,
592,192,1
593,294,0
594,-56,0
595,-63,0
596,,
597,880,0
598,0,1
599,-44,0
600,128,0
601,-34,0
602,48,0
603,88,0
604,-50,0
605,312,0
606,-19,0
607,142,1
608,2576,0
609,969,0
610,-36,1
611,27,0
612,-2,1
613,158,1
614,-90,0
615,388,0
616,-32,1
617,-26,0
618,7,0
619,128,0
620,97,0
621,,
622,-75,1
623,-100,0
624,534,0
625,-31,0
626,,
627,787,0
628,-56,1
629,-144,0
630,-32,0
631,-27,0
632,189,0
633,337,0
634,535,0
635,-85,1
636,951,0
637,,
638,-17,0
639,-41,0
640,,
641,-130,0
642,86,0
643,,
644,10,0
645,-96,0
646,229,0
647,424,0
648,-130,1
649,64,0
650,21,0
651,-27,1
652,291,0
653,651,0
654,-27,0
655,186,1
656,,
657,,
658,-17,1
659,-46,1
660,,
661,198,1
662,-7,0
663,51,0
664,677,0
665,-57,0
666,,
667,559,0
668,-32,0
669,-73,0
670,273,0
671,,
672,,
673,168,0
674,67,0
675,,
676,,
677,345,0
678,658,0
679,229,1
680,,
681,-5,0
682,,
683,-6,0
684,,
685,,
686,,
687,243,0
688,429,1
689,,
690,354,1
691,92,0
692,187,0
693,6,0
694,,
695,4,0
696,-19,1
697,640,0
698,-34,0
699,69,0
700,-112,0
701,-89,0
702,163,0
703,,
704,79,0
705,-31,0
706,119,0
707,5,0
708,95,0
709,-95,0
710,-3,1
711,384,0
712,595,0
713,71,0
714,23,1
715,18,0
716,986,1
717,-4,0
718,91,0
719,,
720,-76,0
721,82,0
722,9,1
723,-4,0
724,-24,0
725,-34,1
726,,
727,-49,0
728,,
729,184,0
730,1,0
731,39,0
732,143,0
733,86,0
734,11,0
735,389,0
736,355,1
737,287,0
738,-9,0
739,92,0
740,-53,1
741,-31,0
742,,
743,-115,0
744,224,1
745,-129,0
746,-51,1
747,15,0
748,84,0
749,-105,0
750,-41,0
751,-49,1
752,-104,0
753,39,0
754,-2,0
755,-1,0
756,,
757,66,0
758,233,1
759,56,0
760,-25,1
761,,
762,-12,0
763,-1,1
764,7,0
765,137,0
766,-34,0
767,113,0
768,574,0
769,-28,0
770,24,0
771,-130,0
772,,
773,18,0
774,,
775,137,0
776,,
777,55,0
778,726,1
779,-30,1
780,,
781,1506,0
782,,
783,4,0
784,-26,0
785,-33,1
786,-30,0
787,-7,0
788,,
789,235,0
790,-2,0
791,-53,0
792,36,0
793,374,0
794,53,0
795,-59,0
796,350,0
797,,
798,101,0
799,-19,0
800,-39,0
801,,
802,-2,1
803,-19,0
804,,
805,-49,0
806,-37,0
807,-1,0
808,191,0
809,,
810,-59,1
811,,
812,124,0
813,-40,0
814,,
815,-83,1
816,-36,0
817,,
818,-121,1
819,-53,0
820,22,1
821,-142,0
822,-62,0
823,139,0
824,69,0
825,60,0
826,-87,1
827,,
828,1103,0
829,34,0
830,186,0
831,-103,0
832,-5,1
833,,
834,-61,0
835,-20,0
836,-24,0
837,-61,1
838,306,0
839,546,0
840,,
841,-65,0
842,-1,0
843,1183,0
844,,
845,-29,1
846,-47,1
847,206,0
848,-109,0
849,227,0
850,,
851,142,0
852,78,0
853,-16,0
854,213,0
855,51,0
856,175,1
857,216,0
858,60,0
859,73,0
860,,
861,365,0
862,298,0
863,17,1
864,-121,0
865,-16,0
866,380,0
867,-85,1
868,102,0
869,253,0
870,-37,0
871,-31,0
872,,
873,195,1
874,,
875,810,1
876,191,0
877,,
878,-4,0
879,32,0
880,44,0
881,-15,0
882,3565,1
883,-33,0
884,-64,0
885,,
886,233,0
887,,
888,,
889,21,1
890,-7,0
891,17,1
892,-59,1
893,-58,0
894,273,1
895,-18,0
896,-107,0
897,-99,0
898,577,0
899,263,0
900,-130,0
901,207,0
902,140,0
903,-40,1
904,-88,0
905,,
906,,
907,-22,1
908,331,0
909,-3,0
910,-116,1
911,-22,0
912,-8,0
913,,
914,628,0
915,-6,0
916,-41,0
917,1082,0
918,,
919,40,1
920,,
921,,
922,303,0
923,-29,0
924,-69,0
925,-31,0
926,-10,0
927,185,0
928,-82,1
929,-4,0
930,290,0
931,,
932,1,0
933,434,0
934,1154,0
935,,
936,-91,0
937,-22,0
938,279,1
939,-105,0
940,-28,0
941,109,0
942,,
943,-61,0
944,11,1
945,-27,0
946,777,0
947,-172,0
948,264,0
949,-36,0
950,2,0
951,55,0
952,46,0
953,-43,0
954,14,0
955,,
956,498,1
957,-114,0
958,-23,0
959,,
960,-34,0
961,-22,0
962,2528,0
963,-64,0
964,,
965,1453,0
966,394,0
967,26,0
968,80,0
969,,
970,761,0
971,-28,0
972,423,0
973,,
974,-88,1
975,-27,0
976,50,0
977,-30,0
978,131,0
979,-16,0
980,41,0
981,269,0
982,-24,0
983,,
984,,
985,-24,1
986,11,0
987,,
988,,
989,358,0
990,-5,0
