id,age,income,tenure9,district
1,,,6.33,1200
2,6,3,29.5,1200
3,5,5,26.41,1100
4,,,2.25,1200
5,2,9,9.91,1200
6,,3,2.33,1300
7,3,1,8.41,1300
8,5,8,7.33,1200
9,4,9,15.33,1200
10,6,8,4.33,1100
11,6,3,13.5,1200
12,6,1,6.25,1200
13,7,6,17.41,1200
14,,,0.58,1200
15,4,9,14.66,1200
16,4,7,26.66,1100
17,3,8,9,1200
18,,5,9.41,1200
19,3,7,4.16,1200
20,4,8,22.16,1200
21,4,7,8.66,1300
22,,,2.41,1200
23,3,4,4.75,1200
24,,,6.83,1100
25,4,6,18.91,1300
26,,,1.66,1200
27,4,6,8.66,1200
28,,,6.33,1200
29,,,4.83,1200
30,4,3,22.5,1300
31,6,7,8.41,1200
32,5,8,6.25,1200
33,7,3,14.08,1200
34,4,6,29.5,1200
35,4,,5,1200
36,2,1,2.5,1200
37,,,31.83,1200
38,4,7,8.58,1200
39,,,4.33,1200
40,2,6,6.58,1200
41,,,13.83,1200
42,4,4,20.41,1300
43,4,7,17.91,1200
44,2,7,6.16,1200
45,,,2.5,1200
46,5,6,8.75,1200
47,,,0.16,1200
48,6,9,1.16,1200
49,,,1.66,1200
50,,,40,1100
51,4,7,8.75,1200
52,7,3,19.16,1200
53,,,0.75,1100
54,5,7,7.33,1200
55,2,6,6.58,1300
56,5,3,29,1200
57,6,6,22.41,1300
58,,,6.25,1100
59,4,9,15.08,1200
60,5,7,32.08,1200
61,3,6,6.91,1200
62,,,1.25,1300
63,,,0.41,1200
64,,,8.41,1200
65,3,1,3.75,1100
66,4,6,2.83,1200
67,,,3.33,1300
68,,,5.41,1200
69,7,3,15.08,1200
70,,,1.25,1300
71,5,8,6.75,1200
72,4,9,10.25,1200
73,3,6,7.66,1200
74,6,9,29.41,1200
75,,,4.16,1200
76,7,3,2.5,1300
77,4,6,11.66,1100
78,4,6,6.16,1100
79,4,6,3.91,1200
80,1,1,6.41,1200
81,5,9,2.58,1200
82,,,7.75,1200
